source,target,weight
GM Amygdala_laterobasal group,GM Inferior parietal lobule PF,0.929923679061649
GM Amygdala_laterobasal group,GM Inferior parietal lobule PFcm,0.6277029474412574
GM Amygdala_laterobasal group,GM Inferior parietal lobule PFm,0.93292855863326
GM Amygdala_laterobasal group,GM Inferior parietal lobule PFop,0.8174455800128794
GM Amygdala_laterobasal group,GM Inferior parietal lobule PFt,0.2001644995702092
GM Amygdala_laterobasal group,GM Inferior parietal lobule PGp,0.811353333813851
GM Amygdala_laterobasal group,GM Inferior parietal lobule Pga,0.4323965631276935
GM Amygdala_laterobasal group,GM Insula Id1,0.7202747515052349
GM Amygdala_laterobasal group,GM Insula Ig1,0.08591753031077021
GM Amygdala_laterobasal group,GM Insula Ig2,0.42339448542735736
GM Amygdala_laterobasal group,GM Lateral geniculate body,0.5447989589661448
GM Amygdala_laterobasal group,GM Mamillary body,0.2291031506519271
GM Amygdala_laterobasal group,GM Medial geniculate body,0.41281226709145225
GM Amygdala_laterobasal group,GM Premotor cortex BA6,0.43808166545922644
GM Amygdala_laterobasal group,GM Primary auditory cortex TE1.0,0.8605805524675094
GM Amygdala_laterobasal group,GM Primary auditory cortex TE1.1,0.2162484361948488
GM Amygdala_laterobasal group,GM Primary auditory cortex TE1.2,0.6153895669994005
GM Amygdala_laterobasal group,GM Primary motor cortex BA4a,0.6597873363421443
GM Amygdala_laterobasal group,GM Primary motor cortex BA4p,0.7407076293814372
GM Amygdala_laterobasal group,GM Primary somatosensory cortex BA1,0.3919050136821388
GM Amygdala_laterobasal group,GM Primary somatosensory cortex BA2,0.9243740640010047
GM Amygdala_laterobasal group,GM Primary somatosensory cortex BA3a,0.4261411357084972
GM Amygdala_laterobasal group,GM Primary somatosensory cortex BA3b,0.3102740308417212
GM Amygdala_laterobasal group,GM Secondary somatosensory cortex / Parietal operculum OP1,0.9318979179859499
GM Amygdala_laterobasal group,GM Secondary somatosensory cortex / Parietal operculum OP2,0.6745425715685929
GM Amygdala_laterobasal group,GM Secondary somatosensory cortex / Parietal operculum OP3,0.5982123680090679
GM Amygdala_laterobasal group,GM Secondary somatosensory cortex / Parietal operculum OP4,0.18833149087608891
GM Amygdala_laterobasal group,GM Superior parietal lobule 5Ci,0.696779661169537
GM Amygdala_laterobasal group,GM Superior parietal lobule 5L,0.6706901512751856
GM Amygdala_laterobasal group,GM Superior parietal lobule 5M,0.2632309114955894
GM Amygdala_laterobasal group,GM Superior parietal lobule 7A,0.3589927548054126
GM Amygdala_laterobasal group,GM Superior parietal lobule 7M,0.7672339747612055
GM Amygdala_laterobasal group,GM Superior parietal lobule 7P,0.48706572402748516
GM Amygdala_laterobasal group,GM Superior parietal lobule 7PC,0.04560553654969979
GM Amygdala_laterobasal group,GM Visual cortex V1 BA17,0.9316278532916716
GM Amygdala_laterobasal group,GM Visual cortex V2 BA18,0.38477759147530677
GM Amygdala_laterobasal group,GM Visual cortex V3V,0.3756450539779169
GM Amygdala_laterobasal group,GM Visual cortex V4,0.6320658618303812
GM Amygdala_laterobasal group,GM Visual cortex V5,0.48010598711613695
GM Amygdala_laterobasal group,WM Acoustic radiation,0.08679649894805652
GM Amygdala_laterobasal group,WM Callosal body,0.9820397019419654
GM Amygdala_laterobasal group,WM Cingulum,0.35651319034841855
GM Amygdala_laterobasal group,WM Corticospinal tract,0.07943749699248204
GM Amygdala_laterobasal group,WM Fornix,0.8788121146598011
GM Amygdala_laterobasal group,WM Inferior occipito-frontal fascicle,0.04758297290009217
GM Amygdala_laterobasal group,WM Optic radiation,0.5571417819921662
GM Amygdala_laterobasal group,WM Superior longitudinal fascicle,0.0977663607056144
GM Amygdala_laterobasal group,WM Superior occipito-frontal fascicle,0.16678046308655148
GM Amygdala_laterobasal group,WM Uncinate fascicle,0.9844517493178482
GM Amygdala_superficial group,GM Anterior intra-parietal sulcus hIP1,0.692259541740531
GM Amygdala_superficial group,GM Anterior intra-parietal sulcus hIP2,0.5705174625638307
GM Amygdala_superficial group,GM Anterior intra-parietal sulcus hIP3,0.41218909611252574
GM Amygdala_superficial group,GM Broca's area BA44,0.9112973170934667
GM Amygdala_superficial group,GM Broca's area BA45,0.7137755837697141
GM Amygdala_superficial group,GM Hippocampus cornu ammonis,0.552860725284989
GM Amygdala_superficial group,GM Hippocampus dentate gyrus,0.41210971516419903
GM Amygdala_superficial group,GM Hippocampus entorhinal cortex,0.19697310778672683
GM Amygdala_superficial group,GM Hippocampus hippocampal-amygdaloid transition area,0.2508519062739576
GM Amygdala_superficial group,GM Hippocampus subiculum,0.7699846474388827
GM Amygdala_superficial group,GM Inferior parietal lobule PF,0.7128271628600397
GM Amygdala_superficial group,GM Inferior parietal lobule PFcm,0.6325384042116037
GM Amygdala_superficial group,GM Inferior parietal lobule PFm,0.7886665287946131
GM Amygdala_superficial group,GM Inferior parietal lobule PFop,0.9971890853852845
GM Amygdala_superficial group,GM Inferior parietal lobule PFt,0.06540150890685692
GM Amygdala_superficial group,GM Inferior parietal lobule PGp,0.6184348713882294
GM Amygdala_superficial group,GM Inferior parietal lobule Pga,0.8548090422631375
GM Amygdala_superficial group,GM Insula Id1,0.9153473361396879
GM Amygdala_superficial group,GM Insula Ig1,0.37098212269379227
GM Amygdala_superficial group,GM Insula Ig2,0.9381308957607224
GM Amygdala_superficial group,GM Lateral geniculate body,0.030917633752163054
GM Amygdala_superficial group,GM Mamillary body,0.9178170227041114
GM Amygdala_superficial group,GM Medial geniculate body,0.6057694606126045
GM Amygdala_superficial group,GM Premotor cortex BA6,0.7990866711063425
GM Amygdala_superficial group,GM Primary auditory cortex TE1.0,0.36369349891264136
GM Amygdala_superficial group,GM Primary auditory cortex TE1.1,0.32411316984750094
GM Amygdala_superficial group,GM Primary auditory cortex TE1.2,0.6581889971258524
GM Amygdala_superficial group,GM Primary motor cortex BA4a,0.23580911490427836
GM Amygdala_superficial group,GM Primary motor cortex BA4p,0.6720811442259929
GM Amygdala_superficial group,GM Primary somatosensory cortex BA1,0.22535444634496749
GM Amygdala_superficial group,GM Primary somatosensory cortex BA2,0.6129003701996655
GM Amygdala_superficial group,GM Primary somatosensory cortex BA3a,0.19045688004655204
GM Amygdala_superficial group,GM Primary somatosensory cortex BA3b,0.7421746680758241
GM Amygdala_superficial group,GM Secondary somatosensory cortex / Parietal operculum OP1,0.2219818024759973
